application_id,customer_id,pincode,applied_amount,loan_type,loan_start_date,income,occupation,status,successful_payments,delayed_payments,total_payments,interest_rate,tenure_months,npa_flag
55,1599,110080,319000.0,Education,2019-03-23,662256,Salaried,Rejected,2,0,2,16.16,96,0
56,1826,110080,729000.0,Personal,2022-05-29,836385,Salaried,Ongoing,33,2,35,16.73,24,0
57,4313,110080,559000.0,Personal,2019-08-16,5119942,Salaried,Closed,75,5,80,10.85,18,0
58,3976,110080,305000.0,Asset,2021-01-14,4681683,Self-Employed,Approved,49,10,59,12.39,60,0
59,7568,110080,677000.0,Personal,2022-04-05,275158,Self-Employed,Defaulted (NPA),75,5,80,18.18,18,1
60,8526,110080,290000.0,Home,2020-02-03,402493,Self-Employed,Rejected,29,8,37,8.41,120,0
61,8179,110080,725000.0,Home,2020-03-11,5096893,Salaried,Approved,13,0,13,16.03,24,0
62,5588,110080,724000.0,Personal,2019-05-22,295058,Retired,Closed,15,0,15,10.36,24,0
63,3782,110080,656000.0,Personal,2022-01-23,850372,Salaried,Closed,62,33,95,10.17,12,0
64,11364,110080,292000.0,Home,2022-10-15,216869,Self-Employed,Approved,11,5,16,16.9,84,0
65,10560,110080,413000.0,Personal,2024-03-16,1181145,Self-Employed,Approved,60,39,99,8.49,12,0
66,6467,110080,346000.0,MSME,2022-02-02,561903,Salaried,Closed,33,11,44,11.95,12,0
67,1565,110080,687000.0,Asset,2021-05-02,3158578,Self-Employed,Approved,26,2,28,14.4,48,0
68,723,110080,358000.0,Personal,2021-07-23,863673,Self-Employed,Closed,10,6,16,16.19,12,0
69,11909,110080,405000.0,Home,2019-09-15,937558,Salaried,Rejected,70,5,75,12.89,84,0
70,6513,110080,290000.0,Gold,2021-11-09,3296995,Salaried,Closed,7,3,10,17.55,48,0
71,5877,110080,311000.0,Home,2024-01-02,436294,Self-Employed,Ongoing,64,32,96,13.81,18,0
72,560,110080,484000.0,Gold,2021-04-27,830047,Self-Employed,Closed,1,0,1,18.21,24,0
73,6064,110080,145000.0,Home,2022-10-29,2102107,Student,Inquired,4,0,4,12.93,12,0
74,2418,110080,151000.0,Education,2023-12-04,206415,Salaried,Closed,8,0,8,11.6,12,0
75,834,110080,401000.0,Personal,2023-10-08,921705,Salaried,Approved,51,18,69,17.14,24,0
76,838,110080,193000.0,Personal,2024-11-20,2915203,Student,Ongoing,54,23,77,8.42,84,0
77,6847,110080,445000.0,Home,2023-08-23,3952458,Student,Closed,60,15,75,16.29,48,0
78,879,110080,579000.0,Education,2024-09-27,2370857,Salaried,Closed,82,14,96,8.54,72,0
79,4615,110080,302000.0,MSME,2019-08-09,761010,Salaried,Closed,29,2,31,13.05,120,0
80,10352,110080,664000.0,Personal,2022-02-02,752369,Salaried,Defaulted (NPA),63,12,75,16.42,96,1
81,1299,110080,668000.0,Asset,2019-02-16,469836,Self-Employed,Rejected,57,17,74,11.36,120,0
82,1909,110080,398000.0,Personal,2019-06-14,469116,Salaried,Approved,24,14,38,14.45,18,0
83,1828,110080,624000.0,Personal,2019-05-28,337668,Salaried,Approved,73,9,82,12.13,12,0
84,6885,110080,443000.0,Home,2021-10-11,675105,Self-Employed,Approved,11,4,15,17.78,18,0
85,6840,110080,181000.0,Asset,2022-11-23,576844,Salaried,Approved,32,19,51,13.66,36,0
86,9356,110080,348000.0,Education,2022-09-04,5471877,Salaried,Closed,57,0,57,18.19,36,0
87,1211,110081,606000.0,Personal,2024-04-24,1077931,Salaried,Approved,49,30,79,12.69,6,0
88,11958,110081,780000.0,Gold,2021-02-20,660630,Self-Employed,Approved,48,2,50,18.32,36,0
89,7999,110081,565000.0,Gold,2022-03-02,1907785,Business Owner,Approved,59,18,77,11.82,36,0
90,5825,110081,297000.0,Home,2023-11-07,864068,Salaried,Approved,74,4,78,14.41,48,0
91,6594,110081,505000.0,MSME,2019-11-30,1308664,Self-Employed,Inquired,31,12,43,17.17,18,0
92,5706,110081,575000.0,Home,2024-11-22,1116401,Self-Employed,Ongoing,49,7,56,9.34,84,0
93,1833,110081,401000.0,Home,2024-04-09,1460467,Self-Employed,Approved,71,6,77,13.24,24,0
94,1579,110081,704000.0,MSME,2021-10-18,1112600,Business Owner,Approved,61,23,84,8.35,120,0
95,11145,110081,821000.0,Home,2021-05-16,294059,Business Owner,Rejected,31,9,40,15.84,96,0
96,1663,110081,630000.0,MSME,2020-04-02,733907,Salaried,Rejected,56,26,82,12.21,6,0
97,7652,110081,447000.0,Home,2021-03-19,4112690,Self-Employed,Approved,73,8,81,9.94,24,0
98,10779,110081,479000.0,Asset,2023-02-25,561057,Salaried,Closed,71,28,99,8.94,48,0
99,4049,110081,556000.0,Home,2022-01-19,375800,Retired,Closed,6,0,6,17.09,18,0
100,11062,110081,215000.0,Personal,2022-09-04,305732,Retired,Closed,60,3,63,17.89,12,0
101,9437,110081,132000.0,MSME,2022-12-25,1057298,Salaried,Inquired,4,0,4,17.82,72,0
102,463,110081,187000.0,Education,2020-04-05,984774,Salaried,Approved,62,3,65,14.36,72,0
103,2534,110081,458000.0,Education,2024-06-04,678582,Student,Ongoing,67,20,87,10.5,60,0
104,11365,110081,261000.0,Home,2023-07-29,946433,Salaried,Closed,25,3,28,15.04,24,0
105,2280,110081,323000.0,MSME,2019-07-26,1187644,Salaried,Defaulted (NPA),55,33,88,17.26,6,1
106,9768,110081,138000.0,Home,2019-12-15,4332061,Salaried,Approved,26,4,30,17.3,72,0
107,8550,110081,352000.0,Gold,2019-04-06,715318,Salaried,Rejected,67,0,67,15.94,24,0
108,8541,110081,311000.0,Personal,2024-08-19,1041525,Self-Employed,Approved,67,6,73,10.99,72,0
109,4764,110081,492000.0,Personal,2024-01-19,1096828,Student,Approved,62,9,71,7.51,72,0
110,5940,110081,226000.0,Home,2020-03-17,694597,Self-Employed,Approved,23,11,34,16.88,36,0
111,379,110081,135000.0,Home,2019-05-25,968293,Salaried,Closed,50,26,76,16.8,24,0
112,3912,110081,622000.0,Home,2024-09-12,255590,Business Owner,Defaulted (NPA),52,7,59,17.85,18,1
113,9550,110081,453000.0,MSME,2019-07-24,1064399,Salaried,Ongoing,37,11,48,15.68,48,0
114,8029,110081,776000.0,Home,2021-06-29,5233166,Business Owner,Approved,56,16,72,14.35,36,0
115,4766,110081,544000.0,Education,2023-03-12,850997,Student,Ongoing,38,9,47,12.39,6,0
116,4995,110081,335000.0,Personal,2023-11-27,1185865,Student,Rejected,36,14,50,16.41,36,0
117,2438,110081,406000.0,Asset,2020-04-02,442318,Business Owner,Rejected,23,0,23,17.28,12,0
118,10324,110081,692000.0,Personal,2020-08-08,200582,Student,Closed,46,1,47,17.65,36,0
119,7978,110081,343000.0,Home,2023-07-21,5216068,Business Owner,Closed,64,9,73,17.52,120,0
120,7162,110081,223000.0,Home,2020-12-04,743447,Self-Employed,Approved,48,16,64,18.01,36,0
121,7926,110081,329000.0,Asset,2019-07-04,972149,Salaried,Approved,8,2,10,8.97,60,0
122,6860,110081,670000.0,Asset,2021-06-23,3373776,Retired,Closed,58,3,61,15.75,120,0
123,6550,110081,367000.0,MSME,2024-01-21,998925,Salaried,Closed,23,1,24,10.27,72,0
124,1900,110081,367000.0,Home,2024-07-10,812111,Salaried,Closed,40,8,48,8.38,84,0
125,9261,110081,703000.0,MSME,2022-04-09,460718,Salaried,Inquired,60,37,97,14.85,60,0
126,9225,110081,401000.0,MSME,2021-03-01,838655,Salaried,Closed,52,33,85,8.99,6,0
127,4276,110081,158000.0,MSME,2023-10-16,5342227,Business Owner,Closed,35,11,46,11.39,120,0
128,9623,110081,349000.0,MSME,2024-09-04,328284,Salaried,Approved,61,22,83,16.37,60,0
129,10906,110081,441000.0,Home,2024-07-03,4944572,Student,Closed,37,14,51,16.53,120,0
130,1726,110081,247000.0,Education,2024-04-14,485290,Retired,Closed,66,3,69,14.66,24,0
131,9805,110081,475000.0,Home,2023-07-04,829313,Business Owner,Closed,47,15,62,16.86,36,0
132,9888,110081,291000.0,Home,2019-12-17,207456,Salaried,Inquired,29,13,42,9.9,60,0
133,2050,110081,270000.0,Home,2021-09-16,1099015,Self-Employed,Ongoing,38,23,61,16.33,60,0
134,9888,110081,582000.0,Home,2023-05-30,237578,Salaried,Approved,3,0,3,13.51,12,0
135,298,110081,343000.0,Gold,2023-04-25,764323,Self-Employed,Ongoing,10,2,12,9.36,72,0
136,2856,110081,385000.0,Home,2021-04-20,718171,Business Owner,Approved,78,15,93,9.98,120,0
137,3201,110081,705000.0,Home,2022-11-16,356198,Salaried,Closed,18,1,19,14.11,36,0
138,4763,110081,426000.0,Home,2020-09-06,934644,Salaried,Ongoing,33,9,42,15.72,48,0
139,7786,110081,270000.0,Asset,2024-12-04,4665385,Business Owner,Ongoing,64,20,84,9.95,36,0
140,3331,110081,267000.0,MSME,2023-02-06,3612862,Student,Defaulted (NPA),14,3,17,13.82,120,1
141,10966,110081,626000.0,Home,2021-03-02,1003177,Salaried,Inquired,65,9,74,11.88,96,0
142,4935,110081,149000.0,Asset,2024-02-14,832598,Salaried,Inquired,48,17,65,16.73,120,0
143,8824,110081,561000.0,Home,2024-07-07,733311,Self-Employed,Ongoing,2,0,2,13.53,72,0
144,5642,110081,629000.0,Gold,2023-12-04,512707,Salaried,Closed,68,5,73,9.89,6,0
145,6075,110081,196000.0,Personal,2022-10-28,406971,Salaried,Rejected,46,8,54,7.79,36,0
146,8578,110081,168000.0,MSME,2022-01-17,4076632,Business Owner,Rejected,52,7,59,17.04,24,0
147,5324,110081,515000.0,Home,2024-02-24,527555,Self-Employed,Approved,39,3,42,8.52,12,0
148,3387,110081,605000.0,MSME,2023-01-23,5437613,Salaried,Ongoing,17,7,24,7.86,12,0
149,11457,110081,252000.0,Personal,2019-11-27,436494,Business Owner,Rejected,10,1,11,14.69,6,0
150,11609,110081,644000.0,Gold,2020-09-17,561901,Self-Employed,Closed,37,14,51,10.99,60,0
151,1935,110081,644000.0,Home,2022-11-14,3093368,Salaried,Inquired,57,8,65,8.92,60,0
152,9121,110081,195000.0,Education,2020-05-09,336756,Salaried,Closed,58,9,67,9.94,36,0
153,8111,110081,680000.0,Personal,2024-02-26,3357726,Self-Employed,Inquired,64,30,94,10.25,18,0
154,1462,110081,135000.0,Personal,2024-09-18,1583743,Self-Employed,Ongoing,28,14,42,18.23,24,0
155,6308,110081,114000.0,MSME,2020-05-01,932589,Self-Employed,Approved,1,0,1,14.88,24,0
156,3544,110081,309000.0,Gold,2021-07-25,517819,Business Owner,Inquired,38,4,42,12.41,120,0
157,9456,110081,632000.0,Home,2022-08-28,375240,Salaried,Rejected,26,3,29,9.2,60,0
158,7844,110081,618000.0,Home,2020-09-04,1106428,Student,Ongoing,45,15,60,12.82,24,0
159,10588,110081,401000.0,Education,2021-02-02,589146,Student,Ongoing,49,3,52,13.83,84,0
160,7341,110081,464000.0,Asset,2021-02-14,5047340,Business Owner,Ongoing,33,16,49,9.85,6,0
161,4367,110081,302000.0,Personal,2024-06-23,1113383,Salaried,Rejected,67,6,73,18.34,24,0
162,2917,110081,428000.0,Education,2022-12-26,895912,Salaried,Ongoing,12,5,17,8.53,48,0
163,11814,110081,331000.0,Personal,2019-08-06,480790,Salaried,Approved,57,1,58,18.08,72,0
164,5558,110081,451000.0,Home,2020-02-26,2905102,Salaried,Inquired,93,4,97,11.75,72,0
165,5003,110081,534000.0,Home,2021-07-20,925930,Self-Employed,Approved,88,5,93,13.37,96,0
166,2334,110081,457000.0,Home,2021-07-19,1119946,Salaried,Inquired,7,1,8,15.18,96,0
167,2949,110081,247000.0,Asset,2020-04-13,720936,Business Owner,Approved,72,3,75,14.99,120,0
168,2139,110081,176000.0,Gold,2021-10-25,1165269,Self-Employed,Closed,80,14,94,11.75,24,0
169,11591,110081,572000.0,Gold,2020-05-05,4871128,Self-Employed,Rejected,25,0,25,9.22,48,0
170,9088,110081,618000.0,Education,2022-05-26,3493633,Salaried,Inquired,87,4,91,10.69,96,0
171,9655,110081,130000.0,MSME,2024-09-23,299761,Business Owner,Closed,47,11,58,13.04,18,0
172,4031,110081,578000.0,Home,2021-06-15,4559786,Self-Employed,Inquired,30,16,46,10.18,60,0
173,234,110081,399000.0,Home,2019-07-16,1410901,Business Owner,Rejected,37,3,40,8.16,24,0
174,8178,110081,368000.0,Asset,2021-03-17,3287343,Retired,Inquired,11,0,11,10.04,36,0
175,6822,110081,280000.0,Home,2025-01-18,947249,Salaried,Inquired,35,14,49,13.25,120,0
176,7449,110081,304000.0,Personal,2023-11-25,514077,Business Owner,Inquired,43,24,67,14.38,12,0
177,8896,110081,288000.0,Home,2023-07-12,907074,Retired,Closed,56,5,61,18.19,84,0
178,4257,110081,351000.0,Gold,2020-09-14,328093,Salaried,Approved,58,21,79,9.66,96,0
179,3085,110081,514000.0,Education,2024-03-01,454011,Retired,Approved,53,7,60,13.24,6,0
180,7994,110081,501000.0,Personal,2021-09-07,683239,Salaried,Approved,41,19,60,10.76,36,0
181,3517,110081,892000.0,Personal,2022-12-27,4648355,Business Owner,Closed,49,8,57,9.18,36,0
182,1624,110081,248000.0,Home,2019-10-22,674247,Salaried,Approved,49,3,52,8.35,120,0
183,1866,110081,225000.0,MSME,2025-01-01,5253139,Business Owner,Ongoing,31,5,36,17.05,6,0
184,6659,110081,472000.0,Education,2023-11-08,794484,Self-Employed,Approved,5,0,5,10.65,120,0
185,5634,110081,458000.0,Education,2019-05-20,4041724,Salaried,Closed,33,18,51,11.23,36,0
186,1063,110082,379000.0,Asset,2023-05-28,962641,Salaried,Inquired,25,0,25,12.43,12,0
187,6545,110082,367000.0,MSME,2022-10-05,376979,Salaried,Inquired,2,0,2,7.94,120,0
188,9955,110082,281000.0,MSME,2020-09-29,1150703,Self-Employed,Ongoing,70,1,71,14.02,6,0
189,10885,110082,274000.0,Education,2019-08-23,947191,Salaried,Ongoing,18,1,19,9.43,36,0
190,984,110082,439000.0,Personal,2019-03-04,2899846,Salaried,Ongoing,18,11,29,13.21,48,0
191,8258,110082,182000.0,MSME,2024-11-24,4718963,Self-Employed,Defaulted (NPA),69,22,91,15.1,18,1
192,8988,110082,318000.0,MSME,2019-07-02,941839,Salaried,Defaulted (NPA),41,10,51,8.32,24,1
193,5932,110082,369000.0,Personal,2020-10-21,1178997,Self-Employed,Rejected,48,1,49,7.72,36,0
194,9411,110082,326000.0,Education,2023-12-22,498768,Self-Employed,Closed,67,16,83,14.63,60,0
195,1955,110082,406000.0,Home,2020-10-21,235606,Student,Closed,6,0,6,11.46,12,0
196,9305,110082,407000.0,Personal,2022-01-27,1075506,Salaried,Ongoing,42,1,43,13.49,96,0
197,8887,110082,416000.0,Asset,2024-10-01,772709,Salaried,Ongoing,5,0,5,10.02,120,0
198,10038,110082,431000.0,Personal,2020-12-03,976848,Business Owner,Inquired,6,2,8,17.6,24,0
199,6719,110082,453000.0,Home,2023-03-06,2957692,Salaried,Approved,70,0,70,15.34,96,0
200,1108,110082,478000.0,Home,2023-02-18,272308,Salaried,Rejected,50,11,61,7.78,12,0
201,9498,110082,828000.0,Home,2021-06-30,1610508,Salaried,Closed,12,3,15,9.89,12,0
202,6545,110082,484000.0,Home,2024-09-19,461256,Salaried,Inquired,2,0,2,15.95,72,0
203,10876,110082,327000.0,Personal,2024-08-03,693449,Self-Employed,Ongoing,30,7,37,12.17,60,0
204,11222,110082,323000.0,Asset,2019-08-16,629544,Student,Ongoing,6,3,9,14.22,6,0
205,7119,110082,231000.0,Gold,2020-09-06,3228239,Self-Employed,Closed,10,1,11,14.94,18,0
206,6251,110082,265000.0,Education,2022-12-26,2831718,Salaried,Ongoing,31,6,37,13.62,84,0
207,1088,110082,371000.0,Gold,2024-09-08,1470424,Salaried,Inquired,62,21,83,11.41,36,0
208,7435,110082,453000.0,Gold,2019-05-22,321156,Business Owner,Approved,12,0,12,16.37,60,0
209,6549,110082,220000.0,Personal,2024-04-05,650320,Self-Employed,Closed,26,12,38,14.25,120,0
210,6341,110082,348000.0,Home,2021-10-28,5081249,Retired,Approved,45,3,48,8.84,72,0
211,11494,110082,305000.0,Personal,2024-07-22,225139,Self-Employed,Ongoing,76,17,93,14.09,18,0
212,7292,110082,664000.0,Home,2021-09-01,787432,Self-Employed,Inquired,24,6,30,14.17,6,0
213,9189,110082,353000.0,Personal,2022-10-30,960226,Self-Employed,Approved,10,5,15,15.14,6,0
214,12045,110082,646000.0,Personal,2019-09-19,3858903,Student,Inquired,44,14,58,8.44,12,0
215,7325,110082,194000.0,Personal,2023-08-25,431382,Business Owner,Ongoing,41,8,49,7.79,60,0
216,9290,110082,363000.0,Asset,2020-03-28,459375,Self-Employed,Defaulted (NPA),37,0,37,18.16,36,1
217,4163,110082,455000.0,Education,2023-11-10,1097151,Salaried,Closed,65,12,77,13.68,6,0
218,2501,110082,356000.0,Gold,2023-04-28,317864,Business Owner,Approved,75,18,93,17.13,72,0
219,10169,110082,224000.0,MSME,2023-10-19,4562175,Self-Employed,Closed,66,6,72,10.85,6,0
220,5539,110082,364000.0,Home,2021-10-24,3928653,Business Owner,Approved,24,2,26,7.75,60,0
221,4413,110082,326000.0,Personal,2021-08-03,637467,Business Owner,Ongoing,54,16,70,7.88,84,0
222,5045,110082,362000.0,Home,2024-10-31,752213,Business Owner,Closed,79,1,80,9.8,12,0
223,10583,110082,201000.0,Home,2023-07-31,1029634,Business Owner,Rejected,17,9,26,16.39,18,0
224,6619,110082,255000.0,Home,2021-03-10,325521,Business Owner,Ongoing,57,24,81,11.61,84,0
225,9636,110082,676000.0,Home,2022-07-30,512551,Salaried,Ongoing,66,21,87,10.07,120,0
226,6843,110082,352000.0,Gold,2019-06-25,2806693,Salaried,Ongoing,45,7,52,8.4,72,0
227,9407,110082,784000.0,Personal,2024-05-09,821408,Salaried,Closed,60,39,99,12.11,84,0
228,7836,110082,619000.0,Personal,2021-12-24,1006825,Salaried,Ongoing,63,2,65,15.05,120,0
229,5506,110082,327000.0,Education,2019-07-25,506663,Salaried,Closed,27,2,29,15.11,12,0
230,4827,110082,286000.0,Personal,2024-08-23,203673,Self-Employed,Rejected,7,0,7,16.62,6,0
231,9811,110082,445000.0,Gold,2021-09-10,4590206,Salaried,Ongoing,19,3,22,9.36,48,0
232,11990,110082,781000.0,Home,2021-08-22,808791,Retired,Closed,16,5,21,15.98,36,0
233,1244,110082,485000.0,MSME,2019-10-20,3471497,Business Owner,Approved,47,20,67,14.33,24,0
234,10722,110082,552000.0,MSME,2021-01-20,781903,Salaried,Rejected,66,33,99,7.94,96,0
235,1602,110082,372000.0,Education,2022-12-28,2325531,Self-Employed,Approved,13,1,14,9.54,72,0
236,376,110082,250000.0,Asset,2024-05-03,408456,Self-Employed,Closed,72,18,90,9.02,96,0
237,12145,110082,293000.0,Personal,2021-11-07,1971521,Self-Employed,Closed,14,0,14,14.2,18,0
238,9040,110082,289000.0,Personal,2020-05-02,571050,Salaried,Rejected,16,6,22,11.72,60,0
239,555,110082,164000.0,Asset,2021-12-27,825741,Salaried,Closed,10,0,10,11.13,96,0
240,1960,110082,485000.0,Personal,2020-12-22,240694,Student,Closed,7,3,10,9.69,6,0
241,7619,110082,382000.0,Personal,2023-06-21,4202185,Student,Rejected,61,4,65,14.04,84,0
242,880,110082,365000.0,Gold,2022-10-28,834280,Self-Employed,Defaulted (NPA),56,15,71,11.09,6,1
243,5946,110082,258000.0,Personal,2020-06-04,3439588,Self-Employed,Defaulted (NPA),78,5,83,18.5,36,1
244,450,110082,274000.0,MSME,2021-12-03,400651,Self-Employed,Ongoing,12,0,12,10.61,48,0
245,12058,110082,435000.0,Asset,2023-03-11,2363528,Salaried,Closed,33,20,53,10.74,72,0
246,10222,110082,515000.0,Personal,2021-04-17,1409261,Retired,Ongoing,1,0,1,14.22,96,0
247,6662,110082,139000.0,Education,2024-03-03,252835,Salaried,Approved,36,14,50,16.73,24,0
248,501,110083,317000.0,Personal,2024-04-16,466556,Salaried,Closed,83,5,88,16.38,24,0
249,5260,110083,300000.0,Home,2021-05-22,565150,Salaried,Approved,21,4,25,17.39,60,0
250,1368,110083,648000.0,Education,2024-05-16,1134067,Self-Employed,Ongoing,27,9,36,8.5,96,0
251,6204,110083,168000.0,Gold,2022-10-23,925858,Salaried,Inquired,90,6,96,16.21,24,0
252,10471,110083,735000.0,Home,2019-11-04,1007828,Self-Employed,Approved,17,2,19,7.58,24,0
253,7131,110083,601000.0,Personal,2022-03-10,3244429,Self-Employed,Closed,33,6,39,17.05,120,0
254,2568,110083,865000.0,Personal,2025-01-02,416782,Salaried,Inquired,86,12,98,12.75,84,0
255,9062,110083,319000.0,Education,2023-10-30,2109799,Retired,Ongoing,19,7,26,14.43,6,0
256,2351,110083,538000.0,Education,2023-10-06,232833,Salaried,Approved,64,1,65,9.52,24,0
257,6742,110083,335000.0,Personal,2024-11-19,201617,Business Owner,Rejected,12,1,13,14.94,72,0
258,3510,110083,696000.0,Asset,2022-07-19,958776,Business Owner,Closed,12,1,13,16.39,12,0
259,4403,110083,670000.0,Personal,2024-01-05,1904776,Business Owner,Inquired,92,1,93,12.23,12,0
260,4301,110083,256000.0,Home,2023-11-03,1053642,Business Owner,Rejected,50,22,72,13.06,72,0
261,5578,110083,366000.0,Home,2025-01-07,308855,Salaried,Inquired,77,21,98,14.51,120,0
262,6543,110083,243000.0,Education,2023-04-03,240805,Salaried,Defaulted (NPA),53,24,77,10.65,120,1
263,2985,110083,185000.0,Personal,2022-09-07,666693,Self-Employed,Closed,85,13,98,10.18,60,0
264,4158,110083,439000.0,Gold,2023-01-31,1172782,Salaried,Rejected,13,6,19,11.41,120,0
265,7346,110083,399000.0,Asset,2024-04-25,1559963,Self-Employed,Closed,17,5,22,8.14,12,0
266,11579,110083,562000.0,Home,2024-08-13,2924568,Salaried,Ongoing,33,6,39,16.11,18,0
267,4415,110083,442000.0,Personal,2019-07-23,360809,Salaried,Closed,88,9,97,18.37,84,0
268,6792,110083,272000.0,Education,2020-01-07,914209,Salaried,Closed,21,2,23,14.79,12,0
269,11167,110083,468000.0,Home,2023-03-05,485531,Self-Employed,Approved,74,25,99,17.9,48,0
270,2322,110083,266000.0,MSME,2022-09-29,1141409,Salaried,Ongoing,42,21,63,14.09,12,0
